condition,episode,rso,uncertainty_km
correct,1,131,0.4097689688205719
correct,1,132,1.1597553491592407
correct,1,133,0.2964472770690918
correct,1,134,0.11346472054719925
correct,1,135,0.05999999865889549
correct,1,136,2.090884208679199
correct,1,137,0.6330905556678772
correct,1,138,0.7163993120193481
correct,1,139,0.6110444068908691
correct,1,140,2.213158130645752
correct,1,141,1.0506929159164429
correct,1,142,0.49917981028556824
correct,1,143,0.09565538167953491
correct,1,144,1.4874837398529053
correct,1,145,0.3101358115673065
correct,1,146,0.3690791726112366
correct,1,147,0.07811994850635529
correct,1,148,0.05999999865889549
correct,1,149,0.2622790038585663
correct,1,150,1.9037787914276123
correct,1,151,0.3094334006309509
correct,1,152,0.6891218423843384
correct,1,153,0.46300745010375977
correct,1,154,0.4276030361652374
correct,1,155,0.0800027847290039
correct,1,156,0.11088444292545319
correct,1,157,0.3666943311691284
correct,1,158,0.2450685352087021
correct,1,159,0.5753641128540039
correct,1,160,0.06042740121483803
correct,1,161,0.4817805290222168
correct,1,162,2.5092132091522217
correct,1,163,0.4003887176513672
correct,1,164,0.7659941911697388
correct,1,165,0.30685102939605713
correct,1,166,0.05999999865889549
correct,1,167,0.8766472935676575
correct,1,168,0.6207911372184753
correct,1,169,0.6054539084434509
correct,1,170,0.1977100968360901
correct,1,171,0.9728807210922241
correct,1,172,1.141111135482788
correct,1,173,0.34997835755348206
correct,1,174,1.97602379322052
correct,1,175,0.7281074523925781
correct,1,176,0.34640228748321533
correct,1,177,0.08900859951972961
correct,1,178,0.35037291049957275
correct,1,179,2.456958770751953
correct,1,180,0.26226407289505005
correct,1,181,0.564935564994812
correct,1,182,0.5865152478218079
correct,1,183,0.08211177587509155
correct,1,184,0.2898862361907959
correct,1,185,0.7076717615127563
correct,1,186,0.05999999865889549
correct,1,187,0.2739604413509369
correct,1,188,0.4237041473388672
correct,1,189,0.29926520586013794
correct,1,190,0.16948434710502625
correct,1,191,1.1208055019378662
correct,1,192,0.4257584810256958
correct,1,193,0.9449264407157898
correct,1,194,0.3317580223083496
correct,1,195,0.3475208580493927
correct,1,196,0.27466773986816406
correct,1,197,0.3619242012500763
correct,1,198,0.2930363118648529
correct,1,199,0.3338216245174408
correct,1,200,0.5366792678833008
correct,1,201,0.6939361691474915
correct,1,202,0.5298500061035156
correct,1,203,0.36474767327308655
correct,1,204,0.6672430634498596
correct,1,205,0.061272840946912766
correct,1,206,0.9402990341186523
correct,1,207,0.14554846286773682
correct,1,208,1.163689374923706
correct,1,209,0.08352821320295334
correct,1,210,0.2080889344215393
correct,1,211,0.1331106722354889
correct,1,212,0.1924978494644165
correct,1,213,1.100106954574585
correct,1,214,0.4250226616859436
correct,1,215,0.06935271620750427
correct,1,216,0.7626081705093384
correct,1,217,0.7554290294647217
correct,1,218,0.36695143580436707
correct,1,219,0.9153317809104919
correct,1,220,2.215136766433716
correct,1,221,0.8235753774642944
correct,1,222,0.340821236371994
correct,1,223,0.37981584668159485
correct,1,224,0.3304443657398224
correct,1,225,0.05999999865889549
correct,1,226,0.28033554553985596
correct,1,227,0.1530526876449585
correct,1,228,0.7376338839530945
correct,1,229,0.3819732666015625
correct,1,230,0.3097315728664398
correct,1,231,0.5410628318786621
correct,1,232,0.9179238080978394
correct,1,233,0.7124495506286621
correct,1,234,0.8913573026657104
correct,1,235,1.0538909435272217
correct,1,236,0.6905391812324524
correct,1,237,0.2615341544151306
correct,1,238,0.05999999865889549
correct,1,239,0.3209666311740875
correct,2,0,1.1670759916305542
correct,2,1,1.0333597660064697
correct,2,2,0.7986587882041931
