condition,episode,rso,mean_altitude_km,max_abs_latitude_deg,estimated_inclination_deg,estimated_raan_deg,dominant_sensor,dominant_sensor_fraction,num_visiting_sensors,total_observations
correct,0,229,650.491467085041,58.50368881225586,58.51674648239858,350.9455580712481,1,0.7727272727272727,3,22
correct,0,230,665.6029953253073,60.5992317199707,119.38256714070998,184.99993603594515,2,0.9180327868852459,2,61
correct,0,231,688.6681368468238,30.227344512939453,149.77106472057164,188.2923886278271,1,0.875,3,32
correct,0,232,742.424756659836,27.63992691040039,152.34351425992443,182.3943134990174,0,0.7916666666666666,2,24
correct,0,233,709.55908203125,30.982389450073242,149.01658996985486,194.96864809988827,2,0.9583333333333334,2,24
correct,0,234,659.4062419953893,28.615556716918945,151.37637535796836,350.5844577969634,3,0.6428571428571429,2,14
correct,0,235,717.0222207991803,53.84123229980469,126.15714659381383,0.571727297149044,2,0.43333333333333335,4,30
correct,0,236,769.5878025742828,69.27561950683594,69.47684791109492,183.82510268901066,1,0.9473684210526315,2,38
correct,0,237,661.5691198130123,58.70686721801758,121.2696528606117,3.7075680766950216,0,0.5657894736842105,2,76
correct,0,238,648.9127737576845,53.61502456665039,53.62692456546767,355.931403356248,0,0.5909090909090909,2,22
correct,0,239,757.6184522284836,49.600433349609375,49.64854976972496,171.47125817021242,3,0.9607843137254902,2,51
