scenario,head,normalized_rank,attention_mean,ci95,n_samples
id_2000_k60,2,1.0,1.0006961361547042,0.0010428867111176591,3552
id_2000_k60,3,0.0,0.9957461116818694,0.0005076833309299204,3552
id_2000_k60,3,0.01694915254237288,0.9970071423832361,0.0004994436179089452,3552
id_2000_k60,3,0.03389830508474576,0.9973290900422914,0.0004933610191764563,3552
id_2000_k60,3,0.05084745762711865,0.9981294128674645,0.00047923944574117754,3552
id_2000_k60,3,0.06779661016949153,0.9984818595285351,0.0004959029230250618,3552
id_2000_k60,3,0.0847457627118644,0.9987766187268872,0.00048744185650459075,3552
id_2000_k60,3,0.1016949152542373,0.9986480017872276,0.00048647348282958026,3552
id_2000_k60,3,0.11864406779661017,0.9988279883993102,0.0004734835434482199,3552
id_2000_k60,3,0.13559322033898305,0.99926410781572,0.0004752204896844387,3552
id_2000_k60,3,0.15254237288135594,0.9994788542557675,0.0004782393040404885,3552
id_2000_k60,3,0.1694915254237288,0.9993879613508513,0.00047884939604208,3552
id_2000_k60,3,0.1864406779661017,0.9994112510435484,0.0004734780244543893,3552
id_2000_k60,3,0.2033898305084746,0.9996323829499988,0.0004859601367152846,3552
id_2000_k60,3,0.22033898305084745,0.999522302501105,0.000477471603314585,3552
id_2000_k60,3,0.23728813559322035,0.999743199898853,0.0004872958397770883,3552
id_2000_k60,3,0.2542372881355932,0.9996945102707492,0.0004768673404736421,3552
id_2000_k60,3,0.2711864406779661,0.999678239679417,0.00048456777563417216,3552
id_2000_k60,3,0.288135593220339,0.9998277777151482,0.00048454517781386727,3552
id_2000_k60,3,0.3050847457627119,1.000105796751004,0.0004799620657232606,3552
id_2000_k60,3,0.3220338983050847,0.9995489508450568,0.0004767606985737706,3552
id_2000_k60,3,0.3389830508474576,1.0000017401468646,0.0004771814457264963,3552
id_2000_k60,3,0.3559322033898305,0.9997698073317339,0.0004884289795268861,3552
id_2000_k60,3,0.3728813559322034,0.999724782684499,0.0004877654583978142,3552
id_2000_k60,3,0.3898305084745763,1.0002691646416981,0.00048412858384784454,3552
