scenario,episode_id,sensor_id,time_h,mean_u_km,valid_k,encoder_umap_1,encoder_umap_2,recurrent_umap_1,recurrent_umap_2
id_2000_k60,0,8,0.6944444444444444,0.22713648,60,6.8583703,13.670082,-3.9417102,8.935983
id_2000_k60,0,9,0.6944444444444444,0.22713648,60,8.353484,15.063797,-2.2670553,6.8663654
id_2000_k60,0,10,0.6944444444444444,0.22713648,60,9.013959,14.725488,1.5722955,5.040571
id_2000_k60,0,11,0.6944444444444444,0.22713648,60,8.445527,12.179975,-1.6765579,10.282521
id_2000_k60,1,0,0.6944444444444444,0.25127774,60,8.613137,5.4949045,0.2776608,0.059526715
id_2000_k60,1,1,0.6944444444444444,0.25127774,60,14.735782,5.8230233,-1.8056674,10.091138
id_2000_k60,1,2,0.6944444444444444,0.25127774,60,13.271893,4.916825,0.84585065,5.34345
id_2000_k60,1,3,0.6944444444444444,0.25127774,60,9.927606,4.653516,-0.12690444,5.057995
id_2000_k60,1,4,0.6944444444444444,0.25127774,60,4.557859,15.125974,-0.7002521,3.0165358
id_2000_k60,1,5,0.6944444444444444,0.25127774,60,11.981494,15.03438,-0.08922194,9.06382
id_2000_k60,1,6,0.6944444444444444,0.25127774,60,9.685506,15.450608,-3.7178423,6.9035044
id_2000_k60,1,7,0.6944444444444444,0.25127774,60,7.2420955,12.513105,-3.9009411,8.673857
id_2000_k60,1,8,0.6944444444444444,0.25127774,60,7.230195,14.3700695,-0.0059464793,10.021945
id_2000_k60,1,9,0.6944444444444444,0.25127774,60,7.821459,15.727909,1.0606964,1.0626025
id_2000_k60,1,10,0.6944444444444444,0.25127774,60,10.2339,13.793869,0.59974635,4.410665
id_2000_k60,1,11,0.6944444444444444,0.25127774,60,7.758144,10.577706,0.08364483,1.6279862
id_2000_k60,2,0,0.6944444444444444,0.24874823,60,10.370391,7.275334,-4.308507,5.7057786
id_2000_k60,2,1,0.6944444444444444,0.24874823,60,14.61423,6.347587,0.023965074,10.710607
id_2000_k60,2,2,0.6944444444444444,0.24874823,60,14.242291,4.343242,3.1400607,6.8685627
id_2000_k60,2,3,0.6944444444444444,0.24874823,60,10.209968,4.6422825,0.3477132,5.89966
id_2000_k60,2,4,0.6944444444444444,0.24874823,60,5.559054,13.066025,-3.170536,7.0722227
id_2000_k60,2,5,0.6944444444444444,0.24874823,60,13.625266,15.683063,0.5428879,1.3531891
id_2000_k60,2,6,0.6944444444444444,0.24874823,60,11.463023,13.497108,0.38214612,7.808627
