scenario,scenario_label,method,method_label,episode_id,rso_id,u_total_km
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,9,15,118.72554016113281
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,9,16,3.887516498565674
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,9,17,0.9275343418121338
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,9,18,4.91798210144043
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,9,19,0.48580801486968994
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,9,20,2.619044542312622
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,9,21,3.1771254539489746
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,9,22,2.369605541229248
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,9,23,103.0714111328125
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,9,24,2.6625003814697266
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,9,25,107.10932922363281
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,9,26,0.1539122313261032
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,9,27,0.31603899598121643
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,9,28,4.976004600524902
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,9,29,0.1475922167301178
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,10,0,2.6764132976531982
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,10,1,25.360946655273438
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,10,2,14.622349739074707
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,10,3,1.972406029701233
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,10,4,6.9881062507629395
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,10,5,32.57594680786133
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,10,6,49.26670837402344
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,10,7,2.256324052810669
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,10,8,102.02747344970703
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,10,9,0.25227880477905273
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,10,10,19.83102798461914
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,10,11,28.993886947631836
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,10,12,0.4863837659358978
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,10,13,3.728546619415283
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,10,14,0.5672385096549988
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,10,15,4.959174633026123
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,10,16,4.555193901062012
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,10,17,0.6099766492843628
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,10,18,3.64597225189209
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,10,19,0.25719261169433594
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,10,20,0.13968609273433685
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,10,21,20.125844955444336
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,10,22,0.5694501399993896
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,10,23,102.731689453125
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,10,24,1.759504795074463
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,10,25,84.67243957519531
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,10,26,0.5184005498886108
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,10,27,104.49697875976562
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,10,28,41.49704360961914
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,10,29,102.3916015625
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,11,0,1.4578993320465088
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,11,1,108.55812072753906
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,11,2,0.11882959306240082
