scenario,episode_id,time_h,mean_u_km,pre_umap_1,pre_umap_2,post_umap_1,post_umap_2
catalogue_120,4,3.2222222222222223,5.8373923,-4.2559767,12.307104,-2.9788513,13.600269
catalogue_120,5,3.2222222222222223,7.862193,-5.708801,14.882971,-7.1507654,12.299511
catalogue_120,6,3.2222222222222223,7.920224,-4.939649,14.936533,-5.8033442,13.556526
catalogue_120,7,3.2222222222222223,21.151701,-4.2225895,13.033396,-3.5809045,13.874679
catalogue_120,4,3.25,5.648941,-4.575082,12.656973,-3.589612,13.43154
catalogue_120,5,3.25,6.9867687,-6.1724133,14.5718155,-7.615368,11.474951
catalogue_120,6,3.25,7.945269,-5.7471304,14.574286,-6.892442,11.967727
catalogue_120,7,3.25,21.19926,-4.203763,13.092233,-3.349107,14.251751
catalogue_120,4,3.2777777777777777,5.6160727,-5.2724333,13.7877865,-6.2015595,11.517499
catalogue_120,5,3.2777777777777777,6.969985,-6.07378,14.598613,-7.5948353,11.573629
catalogue_120,6,3.2777777777777777,7.675283,-5.827977,14.526354,-7.1049075,11.587849
catalogue_120,7,3.2777777777777777,21.13426,-4.2152023,13.1448,-3.4261827,14.203346
catalogue_120,4,3.3055555555555554,2.1886556,4.312307,13.150428,-2.388519,9.388696
catalogue_120,5,3.3055555555555554,6.0718274,-6.4684386,14.31359,-7.7132707,10.528215
catalogue_120,6,3.3055555555555554,7.685639,-5.7488194,14.598233,-7.1977024,11.8572855
catalogue_120,7,3.3055555555555554,21.0747,-4.2063375,13.125836,-3.4029465,14.286373
catalogue_120,4,3.3333333333333335,2.2385042,4.2331014,13.070778,-2.2566595,9.317098
catalogue_120,5,3.3333333333333335,6.0501695,-5.9648414,14.676233,-7.5602612,11.602545
catalogue_120,6,3.3333333333333335,7.6657662,-4.4808083,14.818124,-3.9817219,14.970203
catalogue_120,7,3.3333333333333335,21.11213,-4.780945,14.128232,-4.400115,14.098513
catalogue_120,4,3.361111111111111,2.2999892,4.243698,13.094644,-2.0056443,9.26134
catalogue_120,5,3.361111111111111,6.038483,-5.8441143,14.627853,-7.2973742,11.930403
catalogue_120,6,3.361111111111111,7.6824718,-4.452727,14.756916,-3.7938263,15.088743
catalogue_120,7,3.361111111111111,21.147676,-6.303969,14.257436,-7.666108,11.090328
catalogue_120,4,3.388888888888889,2.3606048,4.2719536,13.151024,-1.9902483,9.238163
catalogue_120,5,3.388888888888889,5.1943736,-5.9467897,13.318437,-5.918149,10.140366
catalogue_120,6,3.388888888888889,7.67928,-4.4823093,14.794422,-4.170157,14.845338
catalogue_120,7,3.388888888888889,17.077417,-6.1628995,14.16198,-7.544798,11.177573
catalogue_120,4,3.4166666666666665,2.301305,4.2739115,13.345449,-3.3651674,8.796251
catalogue_120,5,3.4166666666666665,5.0656443,-5.918535,13.305361,-5.945977,10.231461
catalogue_120,6,3.4166666666666665,7.6957965,-4.482044,14.766249,-4.0965276,14.896268
catalogue_120,7,3.4166666666666665,15.924085,-5.9376206,14.023242,-7.2874146,11.207701
catalogue_120,4,3.4444444444444446,2.367473,4.350254,13.137823,-2.6967683,8.980806
catalogue_120,5,3.4444444444444446,5.0490704,-5.880354,13.303824,-5.91575,10.232174
catalogue_120,6,3.4444444444444446,7.7119355,-4.504358,14.790206,-4.736977,14.367305
catalogue_120,7,3.4444444444444446,16.567509,-4.3282747,13.23676,-3.7750225,13.808211
catalogue_120,4,3.4722222222222223,2.4341404,6.345719,10.151695,1.2674596,8.900293
catalogue_120,5,3.4722222222222223,4.9368243,-5.9639764,13.275489,-6.238606,9.661431
catalogue_120,6,3.4722222222222223,7.714267,-5.128284,14.881949,-6.449068,12.653127
catalogue_120,7,3.4722222222222223,17.213594,-4.2162023,13.179328,-3.3721201,14.658918
catalogue_120,4,3.5,2.5000162,6.2309337,10.153767,1.386016,9.553704
catalogue_120,5,3.5,4.918706,-6.01673,13.353235,-5.93353,10.097999
catalogue_120,6,3.5,7.7234373,-5.0915995,14.93974,-5.934351,13.468418
catalogue_120,7,3.5,15.708063,-4.3156,13.299248,-3.678769,14.214684
catalogue_120,4,3.5277777777777777,2.5396185,6.0080733,9.7376,1.5566416,9.161522
catalogue_120,5,3.5277777777777777,4.9165406,-6.0093665,13.2962475,-6.0532866,9.994364
catalogue_120,6,3.5277777777777777,7.71387,-5.9833264,14.460486,-7.324047,11.4645195
catalogue_120,7,3.5277777777777777,15.388025,-4.2309318,13.209394,-3.392701,14.637491
catalogue_120,4,3.5555555555555554,2.5904205,5.0977015,10.042638,2.1938045,10.931283
catalogue_120,5,3.5555555555555554,4.910911,-6.0982943,13.50955,-6.340915,9.979414
catalogue_120,6,3.5555555555555554,7.7142763,-6.1735926,13.95085,-7.2859674,10.629717
catalogue_120,7,3.5555555555555554,15.471875,-4.7842784,14.281849,-4.564821,14.24138
catalogue_120,4,3.5833333333333335,2.6484299,5.1072364,10.241905,2.2051764,10.898347
